"","local_site","location","date","discharge_vol_cm"
"1","alb","CAMP",1981-07-16,17879
"2","alb","CAMP",1981-07-17,18562
"3","alb","CAMP",1981-07-18,16279
"4","alb","CAMP",1981-07-19,14861
"5","alb","CAMP",1981-07-20,14561
"6","alb","CAMP",1981-07-21,12796
"7","alb","CAMP",1981-07-22,12686
"8","alb","CAMP",1981-07-23,12629
"9","alb","CAMP",1981-07-24,11763
"10","alb","CAMP",1981-07-25,10826
"11","alb","CAMP",1981-07-26,12720
"12","alb","CAMP",1981-07-27,12437
"13","alb","CAMP",1981-07-28,9472
"14","alb","CAMP",1981-07-29,9619
"15","alb","CAMP",1981-07-30,9449
"16","alb","CAMP",1981-07-31,11123
"17","alb","CAMP",1981-08-01,9546
"18","alb","CAMP",1981-08-02,9285
"19","alb","CAMP",1981-08-03,10013
"20","alb","CAMP",1981-08-04,9472
"21","alb","CAMP",1981-08-05,9721
"22","alb","CAMP",1981-08-06,9968
"23","alb","CAMP",1981-08-07,10217
"24","alb","CAMP",1981-08-08,10463
"25","alb","CAMP",1981-08-09,10712
"26","alb","CAMP",1981-08-10,10959
"27","alb","CAMP",1981-08-11,11208
"28","alb","CAMP",1981-08-12,11454
"29","alb","CAMP",1981-08-13,11703
"30","alb","CAMP",1981-08-14,7538
"31","alb","CAMP",1981-08-15,8804
"32","alb","CAMP",1981-08-16,16591
"33","alb","CAMP",1981-08-17,13578
"34","alb","CAMP",1981-08-18,11882
"35","alb","CAMP",1981-08-19,11242
"36","alb","CAMP",1981-08-20,10511
"37","alb","CAMP",1981-08-21,11859
"38","alb","CAMP",1981-08-22,10661
"39","alb","CAMP",1981-08-23,9141
"40","alb","CAMP",1981-08-24,9786
"41","alb","CAMP",1981-08-25,8668
"42","alb","CAMP",1981-08-26,9866
"43","alb","CAMP",1981-08-27,10004
"44","alb","CAMP",1981-08-28,10123
"45","alb","CAMP",1981-08-29,10752
"46","alb","CAMP",1981-08-30,10622
"47","alb","CAMP",1981-08-31,8478
"48","alb","CAMP",1981-09-01,10894
"49","alb","CAMP",1981-09-02,11273
"50","alb","CAMP",1981-09-03,11126
"51","alb","CAMP",1981-09-04,10979
"52","alb","CAMP",1981-09-05,10831
"53","alb","CAMP",1981-09-06,10687
"54","alb","CAMP",1981-09-07,10540
"55","alb","CAMP",1981-09-08,10392
"56","alb","CAMP",1981-09-09,10245
"57","alb","CAMP",1981-09-10,10098
"58","alb","CAMP",1981-09-11,9951
"59","alb","CAMP",1981-09-12,9803
