"","local_site","location","depth","year","date","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP"
"506","GL4","OUTLET",0,2017,2017-08-15,NA,10.25,NA,5.25,5,NA,0.09,NA,0.07,NA
"507","GL1","LAKE",0,2017,2017-08-17,NA,12.23,NA,8.66,3.57,NA,0.09,NA,0.06,0.03
"508","GL4","INLET",0,2017,2017-08-22,NA,14.89,NA,7.75,7.14,NA,0.08,NA,0.03,0.04
"509","GL4","LAKE",0,2017,2017-08-22,NA,13.23,NA,9.66,3.57,NA,NA,NA,NA,0.04
"510","GL4","OUTLET",0,2017,2017-08-22,NA,10.13,NA,5.85,4.28,NA,0.33,NA,0.3,0.03
"511","GL4","INLET",0,2017,2017-08-29,NA,13.51,NA,7.8,5.71,NA,0.06,NA,0.02,0.03
"512","GL4","LAKE",0,2017,2017-08-29,NA,7,NA,7,NA,NA,0.23,NA,0.18,0.05
"513","GL4","OUTLET",0,2017,2017-08-29,NA,13.61,NA,12.19,1.43,NA,0.05,NA,0.02,0.03
"514","ALB","INLET",0,2018,2018-06-19,NA,13.49,NA,3.5,9.99,NA,0.04,NA,NA,0.05
"515","ALB","LAKE",0,2018,2018-06-19,NA,9.28,NA,3.57,5.71,NA,0.32,NA,0.22,0.1
"516","GL1","LAKE",0,2018,2018-06-28,NA,9.71,NA,1.7,8.01,NA,1.54,NA,0.34,1.2
"517","GL4","INLET",0,2018,2018-07-03,NA,14.21,NA,3.32,10.89,NA,0.35,NA,0.15,0.2
"518","GL4","LAKE",0,2018,2018-07-03,NA,12.57,NA,3.22,9.35,NA,0.12,NA,0.06,0.06
"519","GL4","OUTLET",0,2018,2018-07-03,NA,15.14,NA,6.64,8.5,NA,0.16,NA,0.12,0.04
"520","ALB","INLET",0,2018,2018-07-05,NA,11.28,NA,4.86,6.43,NA,0.13,NA,0.08,0.05
"521","ALB","LAKE",0,2018,2018-07-05,NA,31.77,NA,27.17,4.6,NA,0.1,NA,0.05,0.06
"522","GL4","INLET",0,2018,2018-07-10,NA,11.57,NA,5.85,5.71,NA,0.13,NA,0.02,0.11
"523","GL4","LAKE",0,2018,2018-07-10,NA,11.42,NA,5.71,5.71,NA,0.1,NA,0.03,0.07
"524","GL4","OUTLET",0,2018,2018-07-10,NA,12.57,NA,6.85,5.71,NA,0.08,NA,0.01,0.07
"525","GL1","LAKE",0,2018,2018-07-12,NA,10.85,NA,8.07,2.79,NA,0.04,NA,NA,0.05
"526","GL4","INLET",0,2018,2018-07-17,NA,12.92,NA,7.92,5,NA,NA,NA,NA,0.07
"527","GL4","LAKE",0,2018,2018-07-17,NA,13.35,NA,7.64,5.71,NA,0.2,NA,0.13,0.07
"528","GL4","OUTLET",0,2018,2018-07-17,NA,17.42,NA,13.14,4.28,NA,0.18,NA,0.05,0.13
"529","ALB","INLET",0,2018,2018-07-19,NA,11.49,NA,6.5,5,NA,NA,NA,NA,0.06
"530","ALB","LAKE",0,2018,2018-07-19,NA,10.28,NA,8.85,1.43,NA,NA,NA,NA,0.08
"531","GL4","INLET",0,2018,2018-07-24,NA,7.64,NA,3.36,4.28,NA,0.09,NA,0.02,0.07
"532","GL4","LAKE",0,2018,2018-07-24,NA,9.14,NA,5.57,3.57,NA,0.13,NA,0.05,0.09
"533","GL4","OUTLET",0,2018,2018-07-24,NA,7.92,NA,4.36,3.57,NA,0.05,NA,NA,0.06
"534","GL1","LAKE",0,2018,2018-07-26,NA,7.64,NA,7.64,NA,NA,0.05,NA,NA,0.05
"535","GL2","LAKE",0,2018,2018-07-26,NA,8.64,NA,5.78,2.86,NA,0.09,NA,0.01,0.08
"536","GL3","LAKE",0,2018,2018-07-26,NA,11.78,NA,10.35,1.43,NA,0.24,NA,0.15,0.09
"537","GL4","INLET",0,2018,2018-07-31,NA,9.78,NA,4.07,5.71,NA,0.12,NA,NA,0.14
"538","GL4","LAKE",0,2018,2018-07-31,NA,15.28,NA,10.99,4.28,NA,0.11,NA,0.02,0.09
"539","GL4","OUTLET",0,2018,2018-07-31,NA,7.92,NA,4.36,3.57,NA,0.17,NA,0.09,0.08
"540","GL5","INLET",0,2018,2018-07-31,NA,27.99,NA,10.14,17.85,NA,0.29,NA,0.01,0.28
"541","GL5","LAKE",0,2018,2018-07-31,NA,10.49,NA,6.93,3.57,NA,0.06,NA,NA,0.08
"542","GL5","OUTLET",0,2018,2018-07-31,NA,8.85,NA,5.28,3.57,NA,0.09,NA,0.01,0.08
"543","ALB","INLET",0,2018,2018-08-02,NA,8.42,NA,3.32,5.11,NA,0.08,NA,0.01,0.06
"544","ALB","LAKE",0,2018,2018-08-02,NA,11.99,NA,8.03,3.97,NA,0.1,NA,0.05,0.05
"545","GL4","INLET",0,2018,2018-08-07,NA,12.57,NA,4,8.57,NA,0.13,NA,NA,0.14
"546","GL4","LAKE",0,2018,2018-08-07,NA,8.92,NA,4.64,4.28,NA,0.1,NA,0.04,0.06
"547","GL4","OUTLET",0,2018,2018-08-07,NA,8.35,NA,4.78,3.57,NA,0.07,NA,0.01,0.07
"548","GL1","LAKE",0,2018,2018-08-09,NA,7.28,NA,7.28,NA,NA,0.42,NA,0.2,0.22
"549","ALB","INLET",0,2019,2019-07-09,NA,23.85,NA,18.94,4.9,NA,0.16,NA,0.14,NA
"550","ALB","LAKE",0,2019,2019-07-09,NA,21.42,NA,13.57,7.85,NA,0.18,NA,0.18,NA
"551","GL1","LAKE",0,2019,2019-07-11,NA,19.7,NA,15.23,4.47,NA,0.18,NA,0.12,0.06
"552","GL4","INLET",0,2019,2019-07-23,NA,14.28,NA,8.59,5.69,NA,0.58,NA,0.35,0.23
"553","GL4","LAKE",0,2019,2019-07-23,NA,11.35,NA,7.02,4.33,NA,0.27,NA,0.19,0.08
"554","GL4","OUTLET",0,2019,2019-07-23,NA,13.99,NA,11.02,2.97,NA,0.17,NA,0.1,0.07
"555","GL1","LAKE",0,2019,2019-07-25,NA,10.49,NA,5.55,4.95,NA,0.36,NA,0.3,0.06
"556","GL4","INLET",0,2019,2019-07-30,NA,13.56,NA,10.41,3.15,NA,0.27,NA,0.16,0.11
"557","GL4","LAKE",0,2019,2019-07-30,NA,9.78,NA,6.22,3.56,NA,0.13,NA,0.01,0.12
"558","GL4","OUTLET",0,2019,2019-07-30,NA,11.07,NA,7.36,3.7,NA,0.13,NA,0.08,0.05
"559","ALB","INLET",0,2019,2019-08-01,NA,13.21,NA,9.66,3.54,NA,0.1,NA,0.08,NA
"560","ALB","LAKE",0,2019,2019-08-01,NA,13.21,NA,9.15,4.06,NA,0.11,NA,0.07,0.04
"561","GL4","INLET",0,2019,2019-08-06,NA,11.42,NA,7.97,3.45,NA,0.21,NA,0.13,0.08
"562","GL4","LAKE",0,2019,2019-08-06,NA,10.14,NA,5.69,4.45,NA,0.15,NA,0.09,0.05
"563","GL4","OUTLET",0,2019,2019-08-06,NA,10.57,NA,7.9,2.67,NA,0.06,NA,NA,0.06
"564","GL1","LAKE",0,2019,2019-08-08,NA,8,NA,5.14,2.86,NA,0.19,NA,0.16,0.03
"565","GL4","INLET",0,2019,2019-08-13,NA,15.71,NA,11.89,3.81,NA,0.18,NA,0.09,0.1
"566","GL4","LAKE",0,2019,2019-08-13,NA,10.35,NA,7.15,3.2,NA,0.14,NA,0.09,0.05
"567","GL4","OUTLET",0,2019,2019-08-13,NA,8.14,NA,5.24,2.9,NA,0.08,NA,0.05,0.03
"568","ALB","INLET",0,2019,2019-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","ALB","LAKE",0,2019,2019-08-15,NA,14.06,NA,10.26,3.81,NA,0.14,NA,0.13,NA
"570","GL4","INLET",0,2019,2019-08-20,NA,11.78,NA,8.61,3.17,NA,0.26,NA,0.13,0.13
"571","GL4","LAKE",0,2019,2019-08-20,NA,9.07,NA,5.37,3.7,NA,0.06,NA,0.03,0.03
"572","GL4","OUTLET",0,2019,2019-08-20,NA,7.28,NA,3.87,3.41,NA,0.2,NA,0.16,0.04
"573","GL4","INLET",0,2019,2019-08-27,NA,11.57,NA,9.22,2.35,NA,0.31,NA,0.24,0.07
"574","GL4","LAKE",0,2019,2019-08-27,NA,7.92,NA,5.74,2.18,NA,0.17,NA,0.13,0.04
"575","GL4","OUTLET",0,2019,2019-08-27,NA,8.64,NA,5.81,2.82,NA,0.19,NA,0.16,0.03
"576","GL1","LAKE",0,2020,2020-06-18,NA,9.06,NA,4.82,4.24,NA,0.47,NA,0.4,0.07
"577","GL4","LAKE",0,2020,2020-07-02,NA,17.29,NA,8.73,8.56,NA,0.81,NA,0.75,0.06
"578","GL4","INLET",0,2020,2020-07-02,NA,14.42,NA,10.97,3.45,NA,0.48,NA,0.44,0.04
"579","GL4","LAKE",0,2020,2020-07-07,NA,14.32,NA,11.11,3.21,NA,0.42,NA,0.35,0.07
"580","GL4","INLET",0,2020,2020-07-07,NA,14.96,NA,11.61,3.36,NA,0.56,NA,0.49,0.07
"581","GL1","LAKE",0,2020,2020-07-09,NA,11.17,NA,8.42,2.75,NA,0.6,NA,0.54,0.07
"582","GL4","LAKE",0,2020,2020-07-14,NA,10.97,NA,7.9,3.08,NA,0.53,NA,0.48,0.05
"583","GL4","INLET",0,2020,2020-07-14,NA,15.31,NA,12.55,2.77,NA,0.6,NA,0.5,0.1
"584","GL4","LAKE",0,2020,2020-07-21,NA,8.8,NA,5.28,3.52,NA,0.5,NA,0.46,0.04
"585","GL4","INLET",0,2020,2020-07-21,NA,8.7,NA,6.76,1.94,NA,0.54,NA,0.45,0.1
"586","GL1","LAKE",0,2020,2020-07-23,NA,7.04,NA,3.83,3.21,NA,0.45,NA,0.4,0.05
"587","GL4","LAKE",0,2020,2020-07-28,NA,9.02,NA,6.53,2.49,NA,0.48,NA,0.44,0.04
"588","GL4","INLET",0,2020,2020-07-28,NA,10.96,NA,7.32,3.64,NA,0.59,NA,0.54,0.05
"589","GL4","LAKE",0,2020,2020-08-04,NA,9.65,NA,7.81,1.84,NA,0.59,NA,0.54,0.05
"590","GL4","INLET",0,2020,2020-08-04,NA,9.32,NA,8.17,1.14,NA,0.54,NA,0.5,0.04
"591","GL1","LAKE",0,2020,2020-08-06,NA,8.55,NA,7.62,0.93,NA,0.79,NA,0.74,0.05
"592","GL1","LAKE",0,2021,2021-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"593","GL1","LAKE",0,2021,2021-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594","GL4","LAKE",0,2021,2021-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"595","GL4","INLET",0,2021,2021-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596","GL4","LAKE",0,2021,2021-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597","GL4","INLET",0,2021,2021-07-13,NA,19.99,NA,NA,NA,NA,0.323,NA,NA,NA
"598","GL4","LAKE",0,2021,2021-07-20,NA,31.414,NA,NA,NA,NA,0.129,NA,NA,NA
"599","GL4","INLET",0,2021,2021-07-20,NA,14.993,NA,NA,NA,NA,0.161,NA,NA,NA
"600","GL1","LAKE",0,2021,2021-07-22,NA,14.279,NA,NA,NA,NA,0.129,NA,NA,NA
"601","GL4","LAKE",0,2021,2021-07-27,NA,14.279,NA,NA,NA,NA,NA,NA,NA,NA
"602","GL4","INLET",0,2021,2021-07-27,NA,13.565,NA,NA,NA,NA,NA,NA,NA,NA
"603","GL1","LAKE",0,2021,2021-08-03,NA,12.137,NA,NA,NA,NA,NA,NA,NA,NA
"604","GL4","LAKE",0,2021,2021-08-05,NA,22.846,NA,NA,NA,NA,NA,NA,NA,NA
"605","GL4","INLET",0,2021,2021-08-05,NA,23.56,NA,NA,NA,NA,0.194,NA,NA,NA
"606","GL4","LAKE",0,2021,2021-08-09,NA,14.279,NA,NA,NA,NA,NA,NA,NA,NA
"607","GL4","INLET",0,2021,2021-08-09,NA,27.13,NA,NA,NA,NA,0.161,NA,NA,NA
"608","GL1","LAKE",0,2022,2022-06-28,NA,15.707,NA,NA,NA,NA,NA,NA,NA,NA
"609","GL4","LAKE",0,2022,2022-07-12,NA,14.993,NA,NA,NA,NA,NA,NA,NA,NA
"610","GL4","INLET",0,2022,2022-07-12,NA,18.563,NA,NA,NA,NA,NA,NA,NA,NA
"611","GL1","LAKE",0,2022,2022-07-14,NA,19.276,NA,NA,NA,NA,NA,NA,NA,NA
"612","GL4","LAKE",0,2022,2022-07-19,NA,17.135,NA,NA,NA,NA,NA,NA,NA,NA
"613","GL4","INLET",0,2022,2022-07-19,NA,17.849,NA,NA,NA,NA,0.129,NA,NA,NA
"614","GL1","LAKE",0,2022,2022-07-26,NA,17.849,NA,NA,NA,NA,NA,NA,NA,NA
"615","GL4","LAKE",0,2022,2022-07-26,NA,14.993,NA,NA,NA,NA,NA,NA,NA,NA
"616","GL4","INLET",0,2022,2022-07-26,NA,17.135,NA,NA,NA,NA,NA,NA,NA,NA
"617","GL4","LAKE",0,2022,2022-08-02,NA,22.846,NA,NA,NA,NA,NA,NA,NA,NA
"618","GL4","INLET",0,2022,2022-08-02,NA,22.846,NA,NA,NA,NA,0.129,NA,NA,NA
"619","GL1","LAKE",0,2022,2022-08-11,NA,19.276,NA,NA,NA,NA,NA,NA,NA,NA
"620","GL4","LAKE",0,2022,2022-08-11,NA,19.276,NA,NA,NA,NA,NA,NA,NA,NA
"621","GL4","INLET",0,2022,2022-08-11,NA,24.274,NA,NA,NA,NA,0.291,NA,NA,NA
"622","GL4","LAKE",0,2022,2022-08-16,NA,17.135,NA,NA,NA,NA,0.291,NA,NA,NA
"623","GL4","INLET",0,2022,2022-08-16,NA,22.846,NA,NA,NA,NA,0.194,NA,NA,NA
