"","local_site","location","date","discharge_vol_cm"
"1","NAVAJO","Glacier",1994-06-09,3136
"2","NAVAJO","Glacier",1994-06-10,3159.42857142857
"3","NAVAJO","Glacier",1994-06-11,3182.85714285714
"4","NAVAJO","Glacier",1994-06-12,3206.28571428571
"5","NAVAJO","Glacier",1994-06-13,3229.71428571429
"6","NAVAJO","Glacier",1994-06-14,3253.14285714286
"7","NAVAJO","Glacier",1994-06-15,3276.57142857143
"8","NAVAJO","Glacier",1994-06-16,3300
"9","NAVAJO","Glacier",1994-06-17,3499.6
"10","NAVAJO","Glacier",1994-06-18,3699.2
"11","NAVAJO","Glacier",1994-06-19,3898.8
"12","NAVAJO","Glacier",1994-06-20,4098.4
"13","NAVAJO","Glacier",1994-06-21,4297.552
"14","NAVAJO","Glacier",1994-06-22,4164.564
"15","NAVAJO","Glacier",1994-06-23,3761.949
"16","NAVAJO","Glacier",1994-06-24,3546.286
"17","NAVAJO","Glacier",1994-06-25,3473.603
"18","NAVAJO","Glacier",1994-06-26,3577.255
"19","NAVAJO","Glacier",1994-06-27,3529.103
"20","NAVAJO","Glacier",1994-06-28,3382.258
"21","NAVAJO","Glacier",1994-06-29,3396.174
"22","NAVAJO","Glacier",1994-06-30,3481.23
"23","NAVAJO","Glacier",1994-07-01,3399.125
"24","NAVAJO","Glacier",1994-07-02,3669.501
"25","NAVAJO","Glacier",1994-07-03,3460.969
"26","NAVAJO","Glacier",1994-07-04,3418.914
"27","NAVAJO","Glacier",1994-07-05,3338.494
"28","NAVAJO","Glacier",1994-07-06,3141.192
"29","NAVAJO","Glacier",1994-07-07,2764.113
"30","NAVAJO","Glacier",1994-07-08,2108.322
"31","NAVAJO","Glacier",1994-07-09,2459.045
"32","NAVAJO","Glacier",1994-07-10,2978.543
"33","NAVAJO","Glacier",1994-07-11,3149.656
"34","NAVAJO","Glacier",1994-07-12,3069.759
"35","NAVAJO","Glacier",1994-07-13,3058.69
"36","NAVAJO","Glacier",1994-07-14,3043.191
"37","NAVAJO","Glacier",1994-07-15,3066.236
"38","NAVAJO","Glacier",1994-07-16,3034.71
"39","NAVAJO","Glacier",1994-07-17,3062.229
"40","NAVAJO","Glacier",1994-07-18,3110.6
"41","NAVAJO","Glacier",1994-07-19,3249.035
"42","NAVAJO","Glacier",1994-07-20,3351.763
"43","NAVAJO","Glacier",1994-07-21,3384.414
"44","NAVAJO","Glacier",1994-07-22,3265.55
"45","NAVAJO","Glacier",1994-07-23,3143.85
"46","NAVAJO","Glacier",1994-07-24,3131.453
"47","NAVAJO","Glacier",1994-07-25,3246.906
"48","NAVAJO","Glacier",1994-07-26,3366.094
"49","NAVAJO","Glacier",1994-07-27,3334.559
"50","NAVAJO","Glacier",1994-07-28,3201.952
"51","NAVAJO","Glacier",1994-07-29,3112.088
"52","NAVAJO","Glacier",1994-07-30,3124.97
"53","NAVAJO","Glacier",1994-08-01,3830.426
"54","NAVAJO","Glacier",1994-08-02,3627.426
"55","NAVAJO","Glacier",1994-08-03,3463.066
"56","NAVAJO","Glacier",1994-08-04,3370.875
"57","NAVAJO","Glacier",1994-08-05,3351.752
"58","NAVAJO","Glacier",1994-08-06,3261.251
"59","NAVAJO","Glacier",1994-08-07,3046.353
"60","NAVAJO","Glacier",1994-08-08,2953.157
"61","NAVAJO","Glacier",1994-08-09,3208.11
"62","NAVAJO","Glacier",1994-08-10,3553.436
"63","NAVAJO","Glacier",1994-08-11,3617.74
"64","NAVAJO","Glacier",1994-08-12,3442.156
"65","NAVAJO","Glacier",1994-08-13,3506.793
"66","NAVAJO","Glacier",1994-08-14,3333.412
"67","NAVAJO","Glacier",1994-08-15,3206.623
"68","NAVAJO","Glacier",1994-08-16,3134.868
"69","NAVAJO","Glacier",1994-08-17,3313.778
"70","NAVAJO","Glacier",1994-08-18,3059.278
"71","NAVAJO","Glacier",1994-08-19,3111.61
"72","NAVAJO","Glacier",1994-08-20,3259.132
"73","NAVAJO","Glacier",1994-08-21,3200.07
"74","NAVAJO","Glacier",1994-08-22,3240.117
"75","NAVAJO","Glacier",1994-08-23,3168.365
"76","NAVAJO","Glacier",1994-08-24,3030.288
"77","NAVAJO","Glacier",1994-08-25,3025.445
"78","NAVAJO","Glacier",1994-08-26,3077.918
"79","NAVAJO","Glacier",1994-08-27,3059.544
"80","NAVAJO","Glacier",1994-08-28,3319.272
"81","NAVAJO","Glacier",1994-08-29,3405.743
"82","NAVAJO","Glacier",1994-08-30,3057.401
"83","NAVAJO","Glacier",1994-08-31,3503.071
"84","NAVAJO","Glacier",1994-08-31,2670.168
"85","NAVAJO","Glacier",1994-09-01,2422.077
"86","NAVAJO","Glacier",1994-09-02,2716.321
"87","NAVAJO","Glacier",1994-09-03,2774.583
